"Grading","Country","Area","Town","Postcode","Name"
"3-star","Wales","Glamorgan","Cardiff","CF10 1GH","Golden Cross"
"3-star","Wales","Mid Wales","Cemmaes Road","SY20 8JZ","Dovey Valley Hotel"
"3-star","Wales","Mid Wales","Llanidloes","SY18 6EF","Crown & Anchor"
"3-star","Wales","North-East Wales","Ysceifiog","CH8 8NJ","Fox"
"3-star","Wales","North-West Wales","Bethesda","LL57 3AY","Douglas Arms Hotel"
"3-star","Wales","North-West Wales","Conwy","LL32 8RF","Albion Ale House"
"3-star","Wales","West Wales","Llandovery","SA20 0AA","Red Lion"
"3-star","Wales","West Wales","Pontfaen","SA65 9SE","Dyffryn Arms"
"3-star","England","Lancashire","Nether Kellet","LA6 1EP","Limeburner's Arms"
"2-star","Scotland","Edinburgh & The Lothians","Edinburgh","EH10 4QU","Volunteer Arms [Canny Man's]"
"2-star","England","Cumbria","Bassenthwaite Lake","CA13 9YE","Pheasant Inn"
"2-star","England","Merseyside","Liverpool","L2 2AW","Hole in Ye Wall"
"2-star","England","Hampshire","Priors Dean","GU32 1DA","White Horse"
"2-star","Wales","West Wales","Court Henry","SA32 8SD","New Cross Inn"
"2-star","England","West Yorkshire","Norwood Green","HX3 8QG","Old White Beare"
"2-star","England","East Yorkshire","Hull","HU3 1LR","Polar Bear"
"2-star","England","Essex","Colchester","CO2 7ET","Odd One Out"
"2-star","England","Kent","Coldred","CT15 5AJ","Carpenters Arms"
"2-star","England","Greater Manchester","Withington","M20 4BT","Turnpike"
"2-star","England","Staffordshire","Audley","ST7 8DE","Butchers Arms"
"2-star","England","West Sussex","Wineham","BN5 9AY","Royal Oak"
"2-star","England","Cheshire","Haslington","CW1 5RG","Hawk"
"2-star","Wales","North-West Wales","Llansannan","LL16 5HG","Red Lion"
"2-star","England","Lancashire","St Annes","FY8 1SB","Town House"
"2-star","England","Bedfordshire","Luton","LU1 2EY","Great Northern"
"2-star","England","Cambridgeshire","Cambridge","CB1 1LN","Champion of the Thames"
"2-star","England","Cambridgeshire","Grantchester","CB3 9NQ","Blue Ball Inn"
