name,country,county,lat,lng,total_routes,rocktype,already_on_map,url
Deer Knowl,England,Derbyshire,53.48465,-1.86226,31,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/deer_knowl-931
Kinder Downfall,England,Derbyshire,53.39612,-1.87866,356,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/kinder_downfall-134
Kinder Northern Edges,England,Derbyshire,53.4048,-1.8651,434,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/kinder_northern_edges-133
Kinder Southern Edges,England,Derbyshire,53.3801,-1.8389,417,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/kinder_southern_edges-940
Lower Shelf Stones,England,Derbyshire,53.44948,-1.87228,19,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/lower_shelf_stones-16451
Mam Tor,England,Derbyshire,53.3491,-1.8096,19,Shale,,https://www.ukclimbing.com/logbook/crags/mam_tor-1341
Millstone Buttress to Highstone Rocks,England,Derbyshire,53.4936,-1.9233,22,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/millstone_buttress_to_highstone_rocks-10277
Oaken Clough,England,Derbyshire,53.50492,-1.91085,2,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/oaken_clough-19889
Parkhouse Hill,England,Derbyshire,53.19965,-1.88233,5,Limestone,yes,https://www.ukclimbing.com/logbook/crags/parkhouse_hill-16402
Rollick Stones,England,Derbyshire,53.48084,-1.87885,62,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/rollick_stones-933
Shining Clough,England,Derbyshire,53.4848,-1.8535,119,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/shining_clough-123
Torside Clough,England,Derbyshire,53.4719,-1.9028,70,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/torside_clough-1204
Winnats Pass,England,Derbyshire,53.34,-1.79861,33,Limestone,yes,https://www.ukclimbing.com/logbook/crags/winnats_pass-1239
Yellowslacks,England,Derbyshire,53.45858,-1.88731,52,Gritstone,yes,https://www.ukclimbing.com/logbook/crags/yellowslacks-3924
