Name,Description,Walk time,Location,Tags
"PLYMBRIDGE & BICKLEIGH, R PLYM","There are wooded pools galore along the river Plym, all connected by the old railway cycle path or a riverside path. There are car parks on either side of Plym Bridge at PL7 4SR. Upstream in Bickleigh Valley there’s a weir, viaduct and ruined quarry house and it’s a bit more adventurous (50.4180, -4.0798). Or simply relax downstream of the parking – there’s a big beach and some pools by the stepping stones and footbridge.",5 mins,"50.4096, -4.0788","[""Long swim possible"", ""Nature / wild flowers"", ""Kids / paddling""]"
"IVYBRIDGE WATERFALLS, R ERME","Series of fun jacuzzi pools, waterfalls and small weirs in Longtimber woods. Look out for the remains of the old swimming baths, a series of concrete walls in the woods. Park underneath the railway viaduct on Station Rd, Ivybridge PL21 0AG (on road to Cornwood), then follow track down to the river in woods and continue upstream 500m.",5 mins,"50.399, -3.917","[""Long swim possible"", ""Waterfall"", ""Nature / wild flowers""]"
"PILES COPSE, R ERME","Precious remnant of ancient oak woodland with exquisite stream, small pools and waterfall. Quickest access is from road end NE of hamlet of Tor (via Ivybridge then Cornwood, 50.4337, -3.9377). Follow track up around waterworks and around hillside 1.5km dropping down to the stream.",60 mins,"50.4417, -3.9113","[""On a cycle route"", ""Long swim possible"", ""Sunset / view"", ""Secluded, remote""]"
LEFTLAKE MIRES POOL,"High on the old tramway below Red Lake, and with far-reaching views over Piles Copse and the Erme Valley (see listings), this is a deep, dark and silky lake. Climb the moorland path from Harford Moor Gate (20 mins), then bear N to follow the Two Moors Way over Piles Hill until the old mine works are reached (45 mins). Harford is 2 miles N of Ivybridge.",60 mins,"50.4555, -3.9076","[""On a cycle route"", ""Long swim possible"", ""Sunset / view"", ""Secluded, remote""]"
"RED LAKE, HUNTINGDON WARREN","Possibly the most remote swim on Dartmoor. Two large lakes with dramatic hillocks. Easy 6-mile route, possible on a bicycle, along the old mineral tramway (Two Moors Way) from Harford (see Leftlake Mires). NB no access from Lud Gate road to E but possible from Scorriton also 6 miles. If time, find Huntingdon Cross and clapper bridge. Also Huntingdon Warren wheelpit and mine ruins (50.4832, -3.8819).",60 mins,"50.4863, -3.9107","[""On a cycle route"", ""Church / chapel"", ""Secluded, remote"", ""Long swim possible"", ""Dark skies""]"
"SHIPLEY BRIDGE, R AVON","As easy path along the stream to the reservoir. There are only shallow pools, the best after 500m, but the woodland is beautiful. Easy parking and toilets make this popular for overnighters. Beyond Didworthy, dir TQ10 9ED.",10 mins,"50.4549, -3.8562","[""Long swim possible"", ""Kids / paddling""]"
"TOPSHAM BRIDGE, AVON","Follow the river down towards Loddiswell through idyllic, ancient woodland. From Topsham Bridge itself continue 1.5km downstream to find a deep swimming spot on a right-hand bend after about a mile, or try above the weir, a bit further down.",20 mins,"50.3305, -3.7857","[""Long swim possible"", ""Heritage / ruins""]"
STOKE GABRIEL MILL POOL,"Idyllic place in summer. Canoe launch from the pontoon or simply swim from the dam into the mill pool/quay. Also one of the UK’s top crabbing spots. Watch the action from the River Shack café (TQ9 6RD, 01803 782520).",1 mins,"50.4015, -3.6228","[""Long swim possible"", ""Good for SUPs""]"
ASHPRINGTON POINT,"A wild, remote beach on this secluded and seldom-visited stretch of the tidal Dart, downstream of Sharpham estate. Camping here in summer (Point Field, TQ9 7UT, 01803 732542). Find path opposite church and follow for 1.5km.",20 mins,"50.4048, -3.6343","[""Walk in"", ""Secluded, remote"", ""Good for SUPs""]"
"DARTINGTON HALL, R DART","Take time to enjoy the alternative scene at the college and a snack at the vegan Green Table café (TQ9 6EE), then wander down through fields to a bucolic riverside with swimming up- and downstream. Downstream eventually leads to Totnes weir and the station. Take Dartington Lane on the L from the main road as it enters Totnes from A30. From Park School car parkcontinue to little roundabout at end and take path down to the river.",5 mins,"50.4525, -3.6843","[""Long swim possible""]"
"STAVERTON & STILLPOOL, R DART","This fun stretch of river is perfect for train lovers and can be reached from Totnes or Buckfastleigh by steam (South Devon Railway). Otherwise park at the station car park (50p), cross the tracks and head down path to reach the river. It’s rather straight, with steep banks, but there are lots of places to swim, right up to the old weir. Beyond the weir is a footbridge (before the path goes under the railway bridge) leading onto Nappers Field private conservation area, open on weekdays only. It gives access to Stillpool, once very popular with secluded little beaches and a big tree jump into a deep pool on a bend (50.4600, -3.70170) but this riverbank is now fenced off. You can still access Stillpool down a steep track from the opp bank however: park on the roadside bend above Staverton Bridge by Riverwood (50.4594, -3.7132) and follow the permissive paths through Dartington Estate land E for 750m).",10 mins,"50.4622, -3.71","[""Long swim possible"", ""Kids / paddling"", ""Pub"", ""Jump or rope swing""]"
"HEMBURY WOODS, R DART","Ancient oak woodland leads down to a deep, secret stretch of the river Dart. From A38 Buckfastleigh, cross Dart bridge, turn immediately R, signed Buckfast, then R fork, signed Hembury Woods. After bridge, park on L.",10 mins,"50.5026, -3.7912","[""Kids / paddling"", ""Island"", ""Long swim possible""]"
"LOVER’S LEAP, NEW BRIDGE","One of the most enigmatic and remote of the Dartmoor pools, set beneath a 12-metre cliff deep in ancient woodland. 1 mile downstream from Spitchwick (see listing): swim across the river and walk down on the woodland track opposite, along the R bank.",30 mins,"50.5359, -3.7989","[""Long swim possible"", ""Take extra care""]"
"SPITCHWICK COMMON, NEWBRIDGE","The most popular and accessible Dart swimming location, especially in summer, when crowds and litter can be a big problem (take some away). Flat, grassy areas lead to river with deeper section on far side and high cliffs, from which some people jump. From Ashburton A38 follow signs to River Dart Country Park. Cross Holne bridge, then park at Newbridge (TQ13 7NT). Cross road and follow path downstream 300m.",5 mins,"50.5261, -3.8141","[""Long swim possible"", ""Kids / paddling"", ""Nature / wild flowers""]"
"HORSESHOE FALLS, R DART","This horseshoe-shaped waterfall has a big pool below, great for jumps. Large rock for sunbathing. Follow path on the river’s R bank from Newbridge car park (500m) or on path down through fields from Holne (on R as you enter Holne from Holne bridge direction).",15 mins,"50.5195, -3.82","[""Nature / wild flowers"", ""Pub"", ""Long swim possible"", ""Waterfall""]"
"WELLSFOOT ISLAND, NEW BRIDGE","Wooded island reached by footbridge ,with red-sand beach shelving into a deep riverbend pool below a cliff. Follow the river upstream from Newbridge car park side (river’s L bank) just under 1 mile.",20 mins,"50.517, -3.8274","[""Kids / paddling"", ""Island"", ""Long swim possible""]"
"BELL POOL, R DART",This deep hidden pool on an S-bend on the E side of the island has an old iron ladder for scaling an outcrop and jumping back in. 300m downstream of Sharrah Pool (see listing) on L bank.,30 mins,"50.5265, -3.8363","[""Long swim possible"", ""Take extra care"", ""Secluded, remote"", ""Walk in"", ""Jump or rope swing""]"
